timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,symbol
2024-05-24,0.46550000,0.46960000,0.45410000,0.46010000,79004514.80000000,2024-05-24 23:59:59.999,36431003.00483000,79582,38838856.80000000,17909274.33728000,ADAUSDT
2024-05-25,0.46010000,0.46470000,0.45720000,0.46230000,52870401.30000000,2024-05-25 23:59:59.999,24372294.37358000,54665,26967623.70000000,12431440.77186000,ADAUSDT
2024-05-26,0.46230000,0.46300000,0.45500000,0.45810000,47905238.80000000,2024-05-26 23:59:59.999,22013464.63972000,44347,23796670.40000000,10934480.40922000,ADAUSDT
2024-05-27,0.45810000,0.47500000,0.45660000,0.46830000,77194284.10000000,2024-05-27 23:59:59.999,35937546.34790000,79190,37132177.40000000,17284360.95681000,ADAUSDT
2024-05-28,0.46830000,0.46940000,0.45200000,0.45760000,103514209.40000000,2024-05-28 23:59:59.999,47495451.41246000,91389,50381501.60000000,23109381.87335000,ADAUSDT
2024-05-29,0.45770000,0.46420000,0.45000000,0.45120000,86483314.00000000,2024-05-29 23:59:59.999,39578860.67207000,82306,39326396.80000000,18001281.64184000,ADAUSDT
2024-05-30,0.45100000,0.45560000,0.44320000,0.44650000,88752476.40000000,2024-05-30 23:59:59.999,39881480.79571000,84596,43919926.70000000,19731821.66311000,ADAUSDT
2024-05-31,0.44650000,0.45590000,0.44360000,0.44700000,62854052.20000000,2024-05-31 23:59:59.999,28238493.71925000,73132,29587402.90000000,13294626.69769000,ADAUSDT
2024-06-01,0.44700000,0.45330000,0.44500000,0.44990000,31130909.60000000,2024-06-01 23:59:59.999,13977185.03220000,33934,14858560.20000000,6670876.98504000,ADAUSDT
2024-06-02,0.44990000,0.45410000,0.44960000,0.45280000,9576467.20000000,2024-06-02 23:59:59.999,4330484.17388000,8343,4549516.80000000,2057544.71297000,ADAUSDT
2024-02-24,0.53420000,0.54810000,0.53130000,0.54500000,201672485.00000000,2024-02-24 23:59:59.999,109408023.89350000,120313,100364228.00000000,54463286.39400000,XRPUSDT
2024-02-25,0.54490000,0.54890000,0.54200000,0.54250000,200338025.00000000,2024-02-25 23:59:59.999,109195370.46840000,114078,106415186.00000000,58004665.32140000,XRPUSDT
2024-02-26,0.54240000,0.55280000,0.52880000,0.55060000,442051388.00000000,2024-02-26 23:59:59.999,239159787.06540000,223551,230815296.00000000,124909184.86520000,XRPUSDT
2024-02-27,0.55060000,0.59760000,0.54760000,0.58610000,852720045.00000000,2024-02-27 23:59:59.999,484204806.31530000,483468,430326843.00000000,244384752.12880000,XRPUSDT
2024-02-28,0.58620000,0.60590000,0.53000000,0.57500000,1038133713.00000000,2024-02-28 23:59:59.999,600527436.52150000,674605,512812609.00000000,296742517.94160000,XRPUSDT
2024-02-29,0.57490000,0.62600000,0.56690000,0.58670000,1323123117.00000000,2024-02-29 23:59:59.999,789799237.68540000,795539,658100683.00000000,392934252.86110000,XRPUSDT
2024-03-01,0.58680000,0.60340000,0.58290000,0.60130000,545783016.00000000,2024-03-01 23:59:59.999,323258854.74150000,346164,265771951.00000000,157413352.10960000,XRPUSDT
2024-03-02,0.60130000,0.65010000,0.59930000,0.64420000,891150692.00000000,2024-03-02 23:59:59.999,561098506.19940000,628347,436923827.00000000,275269534.15000000,XRPUSDT
2024-03-03,0.64420000,0.64460000,0.59000000,0.62710000,626556050.00000000,2024-03-03 23:59:59.999,390250378.25740000,459635,301497757.00000000,187798619.87490000,XRPUSDT
2024-03-04,0.62710000,0.66600000,0.61500000,0.64770000,1053563753.00000000,2024-03-04 23:59:59.999,680037933.80190000,745606,518667854.00000000,334659993.19450000,XRPUSDT
